26	21
126	108
59	55
118	104
138	119
142	89
29	32
102	16
148	132
40	41
99	127
5	83
17	94
49	126
50	91
103	17
143	53
61	100
40	77
80	113
41	42
93	52
72	29
85	48
144	134
62	101
127	81
129	11
74	75
66	71
67	36
86	49
126	85
78	45
51	91
84	125
16	70
36	48
142	66
1	90
88	95
34	124
59	68
79	46
5	60
70	77
91	20
83	16
28	80
102	29
80	90
40	54
140	141
46	134
5	96
25	11
112	79
72	6
105	40
64	2
115	84
61	113
85	61
145	112
65	3
37	21
91	141
98	0
149	82
94	146
129	24
41	140
33	136
26	11
59	45
32	91
78	58
24	87
16	83
130	105
29	22
1	103
134	75
94	2
34	137
140	118
146	49
119	95
132	114
44	1
98	121
69	94
115	61
101	126
62	55
41	32
54	51
141	119
33	28
19	93
39	71
11	89
144	124
145	89
91	118
83	114
102	127
74	65
52	126
72	104
4	86
79	0
70	31
84	115
35	73
95	124
136	125
28	34
142	56
34	114
53	127
6	15
38	84
71	32
112	33
77	75
49	93
68	106
40	44
38	120
79	121
145	66
91	95
122	82
94	100
0	93
114	78
74	42
60	107
139	22
67	3
12	67
86	16
31	80
30	115
23	76
84	92
143	141
149	72
94	136
95	101
126	88
53	104
100	36
93	140
70	44
131	23
82	18
29	12
129	99
148	112
26	86
141	73
140	108
57	110
104	42
105	7
81	58
127	25
141	109
19	83
133	105
82	139
103	82
75	100
22	8
95	78
96	43
87	74
12	80
119	26
56	86
76	64
96	79
22	93
129	76
147	124
148	89
33	139
100	49
46	78
86	114
132	81
97	123
58	52
104	19
22	129
68	96
29	25
14	125
61	57
21	21
81	35
93	9
98	124
145	56
42	80
9	132
101	129
62	58
40	119
114	68
74	32
0	83
52	93
86	6
13	22
63	139
64	67
83	117
143	131
34	81
52	129
85	126
46	55
5	17
65	68
37	86
10	132
76	77
3	93
136	128
68	73
120	120
121	85
7	63
86	127
59	110
38	87
70	119
144	68
104	32
90	97
50	61
89	132
82	93
110	75
47	135
8	64
74	9
100	147
66	5
11	69
85	18
30	82
145	69
92	143
24	8
29	123
81	133
60	110
106	77
107	42
33	93
59	2
72	84
4	66
56	76
2	105
136	105
88	65
147	114
121	62
25	125
100	39
32	133
24	129
58	42
43	142
144	45
90	74
3	106
101	83
18	85
78	136
39	28
71	97
91	75
23	20
51	2
102	84
48	113
0	73
146	127
13	12
32	25
24	21
84	72
56	53
89	1
35	30
43	34
88	42
128	78
44	115
85	116
119	29
92	12
76	67
117	105
9	14
14	92
27	31
30	36
144	58
63	70
91	52
42	47
83	48
36	116
137	19
142	134
94	57
40	86
39	41
85	8
23	33
138	20
123	120
124	85
130	16
9	135
116	81
40	122
88	19
73	119
34	48
107	32
25	79
72	74
85	93
64	70
65	35
56	66
2	95
117	82
22	73
109	78
14	69
74	120
120	87
140	65
85	129
46	58
32	123
133	26
97	103
98	68
138	141
89	99
90	64
49	63
35	128
55	106
15	70
102	38
62	2
134	107
7	66
113	84
59	113
71	87
31	14
91	65
36	129
49	148
83	61
94	70
135	71
96	0
87	31
146	117
107	9
24	11
10	76
42	145
136	72
81	136
22	50
88	32
121	29
66	93
23	131
57	44
149	127
96	121
121	65
67	94
27	21
132	74
99	126
32	136
119	104
24	132
70	99
30	26
16	128
17	93
63	60
144	48
82	73
101	86
142	124
47	115
48	80
103	16
40	76
41	41
146	94
6	83
12	14
50	126
75	70
61	135
74	74
53	51
39	116
11	134
64	60
56	56
51	90
97	57
76	34
68	30
128	81
15	24
80	4
66	106
140	55
51	126
17	70
91	19
82	50
102	28
47	92
134	97
88	130
40	53
19	30
46	133
92	100
5	95
71	77
6	60
72	5
83	51
84	16
29	80
75	47
94	60
61	112
81	90
41	54
141	141
33	50
106	34
52	63
93	64
30	124
145	111
10	66
116	84
108	80
129	23
93	100
139	67
26	10
126	97
24	86
138	108
84	137
89	66
16	82
130	104
95	146
110	9
101	40
61	4
1	102
34	136
79	58
70	89
90	67
17	83
83	28
69	93
134	110
94	37
41	31
33	27
58	120
45	1
116	61
73	99
34	28
120	31
93	77
66	60
19	128
12	89
46	2
145	124
37	33
30	137
51	80
149	94
95	123
101	17
1	79
66	96
67	61
86	74
71	31
91	9
36	73
96	124
68	105
142	91
40	43
99	129
5	85
11	16
123	77
69	106
61	102
108	34
128	12
73	76
93	54
139	21
39	83
31	79
116	74
22	30
149	71
129	13
126	87
13	67
31	115
78	47
51	93
64	112
95	136
142	68
34	126
148	111
45	135
92	67
111	80
71	44
58	74
104	41
83	18
40	56
81	57
127	24
125	100
58	110
104	77
144	113
82	138
54	76
122	94
120	21
60	119
85	63
37	23
57	1
83	139
149	84
55	40
142	45
88	74
106	122
121	22
147	123
33	138
59	47
118	96
123	31
29	24
21	20
148	124
40	33
57	122
98	123
42	79
15	125
143	45
54	53
141	121
39	73
86	5
145	91
91	120
63	138
83	116
117	29
102	129
143	130
149	61
122	107
41	119
66	63
52	128
86	41
4	88
84	117
10	131
82	7
136	127
1	82
53	129
86	126
6	17
38	86
77	77
89	131
69	73
61	69
21	33
80	82
121	120
19	72
39	50
85	17
71	119
105	32
145	68
90	132
29	122
136	19
54	66
122	84
0	95
74	44
85	53
31	82
72	83
59	1
23	78
4	65
